MAC	b37	b38
778	3	2
779	5	3
780	4	3
781	2	1
782	6	6
783	3	3
784	3	11
785	0	1
786	4	7
787	6	3
788	2	2
789	3	4
790	4	2
791	2	2
792	0	1
793	2	6
794	2	1
795	5	4
796	2	5
797	0	0
798	0	1
799	5	5
800	5	6
801	1	1
802	0	6
803	3	4
804	7	9
805	3	2
806	5	7
807	3	4
808	3	5
809	3	4
810	3	1
811	1	5
812	1	2
813	3	4
814	2	5
815	11	7
816	3	3
817	2	1
818	2	2
819	1	4
820	3	1
821	3	3
822	2	5
823	3	4
824	3	1
825	0	0
826	3	2
827	3	4
828	1	2
829	1	3
830	2	1
831	2	5
832	1	2
833	2	3
834	2	4
835	3	1
836	6	6
837	3	2
838	3	3
839	2	2
840	2	0
841	1	3
842	2	0
843	2	2
844	0	2
845	5	5
846	3	2
847	1	3
848	1	1
849	3	1
850	0	3
851	2	1
852	3	0
853	1	3
854	2	3
855	1	2
856	2	2
857	1	1
858	2	1
859	2	3
860	2	4
861	4	2
862	2	4
863	1	2
864	2	2
865	2	1
866	0	0
867	3	1
868	0	3
869	1	2
870	0	2
871	0	3
872	0	0
873	2	4
874	2	2
875	1	0
876	2	2
877	3	3
878	1	1
879	1	3
880	1	1
881	1	2
882	3	3
883	0	1
884	0	3
885	1	1
886	4	4
887	1	3
888	2	3
889	1	1
890	2	2
891	2	1
892	0	2
893	2	1
894	0	1
895	0	3
896	2	2
897	3	1
898	2	3
899	1	1
900	2	1
901	1	1
902	1	1
903	1	3
904	2	2
905	1	2
906	1	2
907	3	3
908	2	2
909	6	6
910	0	0
911	2	1
912	1	4
913	0	0
914	0	3
915	0	2
916	2	3
917	1	3
918	2	1
919	0	0
920	3	1
921	0	2
922	1	2
923	1	3
924	1	1
925	2	1
926	1	1
927	0	4
928	2	5
929	4	3
930	3	2
931	0	4
932	1	1
933	6	5
934	3	1
935	2	5
936	0	3
937	3	5
938	1	2
939	2	3
940	3	6
941	1	0
942	3	0
943	0	1
944	1	3
945	2	0
946	3	1
947	1	0
948	6	3
949	9	18
950	3	3
951	2	0
952	1	3
953	1	1
954	2	2
955	4	8
956	0	2
957	4	5
958	1	0
959	8	7
960	3	3
961	0	2
962	6	5
963	1	3
964	1	2
965	1	0
966	2	1
967	0	2
968	0	2
969	1	1
970	0	1
971	2	0
972	2	5
973	4	3
974	5	8
975	1	4
976	5	4
977	1	6
978	5	5
979	2	1
980	2	1
981	0	3
982	1	1
983	2	2
984	22	26
985	4	2
986	3	0
987	6	10
988	1	1
989	1	1
990	2	2
991	0	1
992	2	3
993	2	4
994	3	4
995	1	3
996	0	0
997	3	1
998	1	1
999	2	1
1000	2	4
1001	0	3
1002	4	3
1003	3	3
1004	1	3
1005	5	7
1006	0	2
1007	6	2
1008	3	6
1009	3	2
1010	1	2
1011	3	4
1012	2	1
1013	1	3
1014	1	1
1015	10	9
1016	2	1
1017	2	3
1018	0	0
1019	0	1
1020	2	2
1021	1	0
1022	0	3
1023	1	1
1024	1	1
1025	2	3
1026	0	0
1027	2	1
1028	1	3
1029	0	0
1030	2	1
1031	1	1
1032	1	1
1033	1	2
1034	1	3
1035	0	1
1036	3	2
1037	1	3
1038	3	4
1039	3	1
1040	0	3
1041	1	2
1042	5	3
1043	3	4
1044	6	4
1045	4	4
1046	3	2
1047	2	6
1048	0	0
1049	2	0
1050	0	1
1051	1	2
1052	0	0
1053	0	2
1054	1	2
1055	0	2
1056	1	3
1057	0	1
1058	2	1
1059	4	5
1060	1	3
1061	2	1
1062	3	2
1063	2	3
1064	0	0
1065	2	3
1066	1	3
1067	1	3
1068	1	3
1069	1	1
1070	0	0
1071	1	2
1072	0	2
1073	3	3
1074	1	0
1075	1	1
1076	0	0
1077	1	1
1078	2	1
1079	0	0
1080	1	1
1081	1	0
1082	1	1
1083	2	3
1084	1	2
1085	1	5
1086	4	3
1087	2	2
1088	1	2
1089	0	2
1090	2	1
1091	3	1
1092	2	4
1093	0	3
1094	1	3
1095	0	0
1096	0	0
1097	2	1
1098	2	3
1099	1	1
1100	1	1
1101	2	3
1102	4	7
1103	2	0
1104	1	3
1105	1	1
1106	1	0
1107	1	1
1108	2	2
1109	0	0
1110	2	3
1111	1	5
1112	0	0
1113	0	0
1114	1	2
1115	1	3
1116	0	1
1117	2	0
1118	0	1
1119	0	1
1120	2	2
1121	1	2
1122	2	6
1123	4	2
1124	1	0
1125	1	4
1126	4	2
1127	4	6
1128	1	1
1129	1	3
1130	1	1
1131	0	0
1132	1	2
1133	1	1
1134	0	1
1135	3	0
1136	0	2
1137	1	1
1138	3	2
1139	1	1
1140	1	0
1141	0	0
1142	2	3
1143	2	2
1144	0	3
1145	1	3
1146	1	2
1147	0	3
1148	2	2
1149	1	4
1150	1	1
1151	1	0
1152	4	2
1153	0	0
1154	1	1
1155	0	1
1156	0	0
1157	1	2
1158	1	4
1159	4	1
1160	2	1
1161	2	5
1162	1	3
1163	2	2
1164	3	1
1165	1	2
1166	1	2
1167	2	3
1168	0	1
1169	1	0
1170	2	4
1171	6	9
1172	3	0
1173	2	4
1174	4	0
1175	1	1
1176	0	0
1177	4	3
1178	1	1
1179	3	6
1180	5	3
1181	1	2
1182	3	4
1183	6	9
1184	4	3
1185	1	0
1186	2	3
1187	3	0
1188	2	10
1189	5	3
1190	2	4
1191	3	5
1192	3	3
1193	2	2
1194	0	3
