Index,R2_base,R2_boot_1,R2_boot_2,R2_boot_3,R2_boot_4,R2_boot_5,R2_boot_6,R2_boot_7,R2_boot_8,R2_boot_9,R2_boot_10
10,0.9404450935499893,0.9298107977052317,0.9501243260009583,0.9489795756281161,0.9520412365972623,0.9638010631941591,0.9149971807339076,0.9414551194523698,0.9251866541190343,0.9622075476888031,0.9227446215612132
11,0.001435280405886863,0.000571466954074539,0.0007301521019563654,0.001463104200711339,0.002963466161505903,0.0018861592336346965,0.0012697383031551367,0.003016567267161838,0.0013560127191010727,0.002600689363465081,0.0036631347326137984
12,0.802375440298143,0.8028816252204972,0.7656550889937414,0.795890049623718,0.7702112707545169,0.6214781721081561,0.8431923964017739,0.9993385844248619,0.6774955209595597,0.5333785414476266,0.6310466410005812
13,0.13207128402521914,0.17257255936888571,0.3616143051135741,0.3243338306005615,0.06605861597703977,0.17504937142397256,0.0830143447799248,0.11701019811879299,0.2265183242557682,0.0745820964714193,0.22894875882520366
14,0.8464776062862593,0.8199618686270987,0.8956378103182775,0.8067618192389097,0.9190508399116797,0.8846613140868017,0.7967732863212291,0.8046692470098834,0.8791124418415983,0.90352341481454,0.8148022956840986
15,0.20943664863989414,0.33497974817794535,0.20939489578917556,0.2005279556834627,0.14741899807701203,0.17815592766658495,0.2531982021560456,0.187598015225989,0.16146296591168458,0.24188839827658823,0.30826441003532035
16,0.05648070559828338,0.0802294994473983,0.14899596404423832,0.10878628894898165,0.06492473244607173,0.01798332323474367,0.0693986091860743,0.06507697385266385,0.08718447809061608,0.055695907634566194,0.03235613104789469
17,0.8379969665723648,0.8507799069579031,0.8479570670009707,0.8497590259645021,0.797188047556864,0.8174256042158082,0.8221927353323984,0.7854437636330845,0.8906583635725246,0.8375035261544529,0.8118466484256577
18,0.9688577529497859,0.9706410659422611,0.9818326593154012,0.965461852468831,0.9849179230926108,0.9718473382415739,0.973327508567195,0.9854178847560908,0.9901930624447757,0.9772048620149,0.9596865282246415
20,0.08062435720812577,0.08431116699184307,0.059600733275964164,0.09437185987445582,0.07183433097199052,0.03561837984948342,0.0727827942627431,0.09395903631919067,0.08582663852160646,0.11159219718162665,0.09704766728956862
