method,bin_left,n_pairs_true,n_pairs_method,LD_true,LD_method,abs_error,sq_error
RBM,9.460585451150466,273,273,0.19820416533853172,0.1442274328442616,0.053976732494270124,0.0029134876507579963
RBM,20.008937009416474,584,584,0.15645928395746125,0.11866979565062605,0.037789488306835206,0.0014280454264924349
RBM,42.31847619938894,1133,1133,0.16791784439635368,0.12921499428570826,0.03870285011064542,0.0014979106066870863
RBM,89.50267707851988,2477,2477,0.137556126653637,0.10661282376377182,0.030943302889865187,0.0009574879937339392
RBM,189.29625836427152,5166,5166,0.14461560100792886,0.11402734073685351,0.03058826027107535,0.0009356416664110465
RBM,400.35756024679625,10747,10747,0.1352718551503899,0.105391833205813,0.029880021944576896,0.0008928157114083969
RBM,846.747724608064,23014,23014,0.12995116430918185,0.10206753167219075,0.027883632636991104,0.0007774969690346754
RBM,1790.8534278382479,47502,47502,0.12036519839310855,0.09600312132924724,0.024362077063861315,0.0005935107988655176
RBM,3787.6169097289353,99197,99197,0.10981781051827279,0.08752196072224924,0.022295849796023545,0.0004971049181268432
RBM,8010.729204221808,206545,206545,0.09653772822118989,0.07657689478275626,0.019960833438433634,0.00039843487155689027
RBM,16942.52188454948,429946,429946,0.08020597566952073,0.06371470807299723,0.0164912675965235,0.000271961906940146
RBM,35833.07343071304,882134,882134,0.05745972780072029,0.045404120507050366,0.012055607293669925,0.00014533766721918747
RBM,75786.18816256695,1796267,1796267,0.033528630266378465,0.026384504756616297,0.007144125509762168,5.103852929923455e-05
RBM,160286.1760467671,3591966,3591966,0.013119593952769798,0.010078549090137596,0.0030410448626322015,9.247953856541705e-06
RBM,339001.8531686106,6572967,6572967,0.004534096765188746,0.0032391808967178787,0.0012949158684708675,1.676807106417661e-06
RBM,716981.7091289337,11601929,11601929,0.0012456414832916647,0.0009094683788217924,0.00033617310446987236,1.1301235616891172e-07
RBM,1516401.0651285865,9226821,9226821,0.0005696197240645353,0.0004559995082353504,0.00011362021582918486,1.290955344507055e-08
PC,1.0,91,91,0.28510671696286877,0.27433832285131793,0.010768394111550839,0.00011595831174168278
PC,2.114978730727839,58,58,0.16001857654737625,0.15678046182057973,0.003238114726796526,1.048538698389654e-05
PC,4.473135031431141,154,154,0.19110474309349212,0.18875774209241217,0.002347001001079957,5.50841369907032e-06
PC,9.460585451150466,273,273,0.19820416533853172,0.19359044782340923,0.00461371751512249,2.128638930934804e-05
PC,20.008937009416474,584,584,0.15645928395746125,0.15033630898692704,0.006122974970534212,3.749082248978843e-05
PC,42.31847619938894,1133,1133,0.16791784439635368,0.16280319220709732,0.005114652189256358,2.6159667017064854e-05
PC,89.50267707851988,2477,2477,0.137556126653637,0.13248835146354998,0.005067775190087026,2.5682345377261593e-05
PC,189.29625836427152,5166,5166,0.14461560100792886,0.1392498256484625,0.005365775359466363,2.8791545208256372e-05
PC,400.35756024679625,10747,10747,0.1352718551503899,0.130509757361677,0.0047620977887128935,2.267757534926423e-05
PC,846.747724608064,23014,23014,0.12995116430918185,0.12510393818734317,0.004847226121838688,2.349560107623533e-05
PC,1790.8534278382479,47502,47502,0.12036519839310855,0.11533962316712286,0.005025575225985693,2.5256406352041147e-05
PC,3787.6169097289353,99197,99197,0.10981781051827279,0.10454989885673525,0.005267911661537533,2.7750893273763135e-05
PC,8010.729204221808,206545,206545,0.09653772822118989,0.09101081159227868,0.005526916628911208,3.054680742293523e-05
PC,16942.52188454948,429946,429946,0.08020597566952073,0.07441095652268243,0.005795019146838304,3.3582246912222545e-05
PC,35833.07343071304,882134,882134,0.05745972780072029,0.05135194144420863,0.0061077863565116575,3.730505417678995e-05
PC,75786.18816256695,1796267,1796267,0.033528630266378465,0.027744179653300605,0.005784450613077859,3.345986889513682e-05
PC,160286.1760467671,3591966,3591966,0.013119593952769798,0.008543201653956986,0.004576392298812812,2.094336647263321e-05
PC,339001.8531686106,6572967,6572967,0.004534096765188746,0.0018285942522770608,0.0027055025129116856,7.319743847371446e-06
PC,716981.7091289337,11601929,11601929,0.0012456414832916647,0.0003870352953646247,0.0008586061879270401,7.372045859466037e-07
PC,1516401.0651285865,9226821,9226821,0.0005696197240645353,0.00010189423483013526,0.0004677254892344,2.1876713327955883e-07
